Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name,Processed On
10 Feb 26,-11.71,Card ending 3696,,CREDIT CARD PURCHASE,UBER *TRIP HELP.UBER.COM Sydney,-558.88,Taxis & ride shares,Uber,10 Feb 26
10 Feb 26,-66.93,Card ending 3696,,CREDIT CARD PURCHASE,Ezypay*Air Locker TraininSydney,-547.17,Gym & fitness,Air Locker,10 Feb 26
10 Feb 26,-81.83,Card ending 3696,,CREDIT CARD PURCHASE,AMAZON RETA* AMAZON AU SYDNEY,-480.24,Other shopping,Amazon,10 Feb 26
10 Feb 26,-76.80,Card ending 3696,,CREDIT CARD PURCHASE,AMAZON RETA* AMAZON AU SYDNEY,-398.41,Other shopping,Amazon,10 Feb 26
09 Feb 26,-9.03,Card ending 3696,,CREDIT CARD PURCHASE,WOOLWORTHS/HALL RD CARRUM DOWNS,-321.61,Groceries,Woolworths (Carrum Downs Regional Shopping Centre),09 Feb 26
09 Feb 26,-36.90,Card ending 3696,,CREDIT CARD PURCHASE,LS *montaverda Mount Waverle,-312.58,Restaurants & takeaway,Local Serves,09 Feb 26
09 Feb 26,-10.60,Card ending 3696,,CREDIT CARD PURCHASE,WOOLWORTHS/HALL RD CARRUM DOWNS,-275.68,Groceries,Woolworths (Carrum Downs Regional Shopping Centre),09 Feb 26
06 Feb 26,155.00,Card ending 3696,,CREDIT CARD PAYMENT,INTERNET PAYMENT credit rebalance,-265.08,Internal transfers,,06 Feb 26
05 Feb 26,-31.23,Card ending 3696,,CREDIT CARD PURCHASE,AMAZON RETA* AMAZON AU SYDNEY,-420.08,Other shopping,Amazon,05 Feb 26
05 Feb 26,-95.75,Card ending 3696,,CREDIT CARD PURCHASE,PAYPAL *SUPPLEMENTW 0435556870,-388.85,Other shopping,PayPal,05 Feb 26
05 Feb 26,-20.35,Card ending 3696,,CREDIT CARD PURCHASE,UBER *TRIP HELP.UBER.COM Sydney,-293.10,Taxis & ride shares,Uber,05 Feb 26
04 Feb 26,-66.99,Card ending 3696,,CREDIT CARD PURCHASE,UNITED CRANBOURNE W CRANBOURNE WE,-272.75,Fuel,United Petroleum (Cranbourne West),04 Feb 26
04 Feb 26,-69.90,Card ending 3696,,CREDIT CARD PURCHASE,CRANBOURNE OSTEOPATHY CRANBOURNE WE,-205.76,Medical,Cranbourne Osteopathy,04 Feb 26
04 Feb 26,-86.69,Card ending 3696,,CREDIT CARD PURCHASE,CENTRE COM SUNSHINE SEAFORD,-135.86,Electronics & technology,Centre Com (Sunshine),04 Feb 26
04 Feb 26,-398.33,Card ending 3696,,CREDIT CARD PURCHASE,Coles Online Hawthorn East,-49.17,Groceries,Coles Online,04 Feb 26
04 Feb 26,393.81,Card ending 3696,,CREDIT CARD PAYMENT,INTERNET PAYMENT credit rebalance,349.16,Internal transfers,,04 Feb 26
04 Feb 26,-10.00,Card ending 3696,,CREDIT CARD PURCHASE,AMAZON RETA* AMAZON AU SYDNEY,-44.65,Other shopping,Amazon,04 Feb 26
04 Feb 26,-18.30,Card ending 3696,,CREDIT CARD PURCHASE,Beraldo cofee CARRUM DOWNS,-34.65,Cafe & coffee,Beraldo Coffee,04 Feb 26
03 Feb 26,-27.99,Card ending 3696,,CREDIT CARD PURCHASE,AMAZON MARKETPLACE AU SYDNEY,-16.35,Other shopping,Amazon,03 Feb 26
03 Feb 26,-84.22,Card ending 3696,,CREDIT CARD PURCHASE,AGL SALES PTY LTD SYDNEY,11.64,Utilities,AGL,03 Feb 26
03 Feb 26,-31.48,Card ending 3696,,CREDIT CARD PURCHASE,AMAZON MARKETPLACE AU SYDNEY,95.86,Other shopping,Amazon,03 Feb 26
03 Feb 26,-11.15,Card ending 3696,,CREDIT CARD PURCHASE,WOOLWORTHS/HALL RD CARRUM DOWNS,127.34,Groceries,Woolworths (Carrum Downs Regional Shopping Centre),03 Feb 26
03 Feb 26,-15.99,Card ending 3696,,CREDIT CARD PURCHASE,Disney Plus 1800-965160,138.49,Subscriptions,Disney Plus,03 Feb 26
03 Feb 26,-74.16,Card ending 3696,,CREDIT CARD PURCHASE,AGL SALES PTY LTD SYDNEY,154.48,Utilities,AGL,03 Feb 26
03 Feb 26,-4.50,Card ending 3696,,CREDIT CARD PURCHASE,KMART Mulgrave,228.64,Other shopping,Kmart,03 Feb 26
03 Feb 26,-72.71,Card ending 3696,,CREDIT CARD PURCHASE,Ezypay*Air Locker TraininSydney,233.14,Gym & fitness,Air Locker,03 Feb 26
03 Feb 26,-74.00,Card ending 3696,,CREDIT CARD PURCHASE,KMART 1222 CARRUM DOWNS,305.85,Other shopping,Kmart (Carrum Downs),03 Feb 26
02 Feb 26,400.00,Card ending 3696,,CREDIT CARD PAYMENT,INTERNET PAYMENT credit rebalance,379.85,Internal transfers,,02 Feb 26
02 Feb 26,-116.50,Card ending 3696,,CREDIT CARD PURCHASE,KMART 1222 CARRUM DOWNS,-20.15,Other shopping,Kmart (Carrum Downs),02 Feb 26
02 Feb 26,-36.00,Card ending 3696,,CREDIT CARD PURCHASE,ALH VENUES/71 HALL RD CARRUM DOWNS,96.35,Restaurants & takeaway,The Sands Hotel,02 Feb 26
02 Feb 26,-577.15,Card ending 3696,,CREDIT CARD PURCHASE,THE GOOD GUYS FRANKSTON,132.35,Electronics & technology,The Good Guys (Frankston),02 Feb 26
02 Feb 26,-412.55,Card ending 3696,,CREDIT CARD PURCHASE,INTERNET BPAY MEDIBANK PRIVATE,709.50,Insurance,Medibank,02 Feb 26
02 Feb 26,-152.75,Card ending 3696,,CREDIT CARD PURCHASE,AMAZON MARKETPLACE AU SYDNEY,1122.05,Other shopping,Amazon,02 Feb 26
02 Feb 26,-6.90,Card ending 3696,,CREDIT CARD PURCHASE,RITCHIES CARRUM DOWN CARRUM DOWNS,1274.80,Groceries,Ritchies Supa IGA (Carrum Downs),02 Feb 26
02 Feb 26,-85.42,Card ending 3696,,CREDIT CARD PURCHASE,WWW.ALHGROUP.COM* ME&U SURRY HILLS,1281.70,Restaurants & takeaway,Me&U,02 Feb 26
02 Feb 26,1809.66,Card ending 3696,,CREDIT CARD PAYMENT,INTERNET PAYMENT credit rebalance,1367.12,Internal transfers,,02 Feb 26
02 Feb 26,219.68,Card ending 3696,,CREDIT CARD PAYMENT,INTERNET PAYMENT credit rebalance,-442.54,Internal transfers,,02 Feb 26
02 Feb 26,-2.82,Card ending 3696,,CREDIT CARD PURCHASE,RIDES4FUN PTY LTD BAYSWATER,-662.22,Attractions & events,Rides 4 Fun,02 Feb 26
02 Feb 26,-112.50,Card ending 3696,,CREDIT CARD PURCHASE,FRANKSTON ART CENTRE FRANKSTON,-659.40,Attractions & events,Frankston Arts Centre,02 Feb 26
30 Jan 26,-87.00,Card ending 3696,,CREDIT CARD PURCHASE,COM*ROWELLYNPARKPRI CARRUM DOWNS,-546.90,Other shopping,CompassPay,30 Jan 26
29 Jan 26,-83.24,Card ending 3696,,CREDIT CARD PURCHASE,UNITED CARRUM DOWNS CARRUM DOWNS,-459.90,Fuel,United Petroleum (Carrum Downs),29 Jan 26
28 Jan 26,-403.64,Card ending 3696,,CREDIT CARD PURCHASE,Coles Online 7674 MEL FULF,-376.66,Groceries,Coles Online,28 Jan 26
28 Jan 26,-5.75,Card ending 3696,,CREDIT CARD PURCHASE,UNITED CARRUM DOWNS CARRUM DOWNS,26.98,Fuel,United Petroleum (Carrum Downs),28 Jan 26
28 Jan 26,-7.00,Card ending 3696,,CREDIT CARD PURCHASE,Coles Online Hawthorn East,32.73,Groceries,Coles Online,28 Jan 26
28 Jan 26,-16.13,Card ending 3696,,CREDIT CARD PURCHASE,ALDI STORES CARRUM DOWNS,39.73,Groceries,ALDI (Carrum Downs),28 Jan 26
28 Jan 26,-7.00,Card ending 3696,,CREDIT CARD PURCHASE,ALDI STORES CARRUM DOWNS,55.86,Groceries,ALDI (Carrum Downs),28 Jan 26
